StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_10,Q4_11,Q4_12,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6_1,Q7_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Alpha ID,Ring ID,NASA-TLX - How mentally fatiguing was the procedure?,NASA-TLX - How physically fatiguing was the procedure?,NASA-TLX - How hurried or rushed was the pace of the procedure?,"NASA-TLX - How insecure, discouraged, irritated, stressed and annoyed were you?",NASA-TLX - How hard did you have to work to accomplish your level of performance?,NASA-TLX - How successful were you in accomplishing that you were asked to do?,MDMT - Reliable,MDMT - Capable,MDMT - Predictable,MDMT - Skilled,MDMT - Someone you can count on,MDMT - Competent,MDMT - Consistent,MDMT - Meticulous,Perceived autonomy - How autonomous did you feel the robot was?,Single-scale trust - How much did you trust the robot?
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID15_4""}"
2024-04-19 11:25:54,2024-04-19 11:28:51,0,128.250.0.215,100,176,1,2024-04-19 11:28:51,R_4HJfYtlks264XiV,,,,,-37.8159,144.9669,anonymous,EN,2,5,1,8,10,4,7,6,12,4,6,7,7,6,6,7,6,7,6
2024-04-19 11:30:15,2024-04-19 11:31:53,0,128.250.0.215,100,97,1,2024-04-19 11:31:53,R_4jOkebkRBLqzT2N,,,,,-37.8159,144.9669,anonymous,EN,2,5,2,9,8,7,6,5,7,7,6,6,7,6,6,7,7,8,7
2024-04-19 11:32:16,2024-04-19 11:34:04,0,128.250.0.215,100,107,1,2024-04-19 11:34:04,R_4dJakyraysjtfsR,,,,,-37.8159,144.9669,anonymous,EN,2,1,4,4,7,8,2,5,3,6,5,7,7,6,6,6,5,9,8
2024-04-19 11:34:39,2024-04-19 11:36:41,0,128.250.0.215,100,121,1,2024-04-19 11:36:41,R_4npH9uvskVnV8bH,,,,,-37.8159,144.9669,anonymous,EN,2,5,3,6,5,4,6,4,8,7,7,6,6,7,7,6,6,9,7
2024-04-19 11:37:06,2024-04-19 11:39:22,0,128.250.0.215,100,136,1,2024-04-19 11:39:22,R_46GHVntm3BmUCOd,,,,,-37.8159,144.9669,anonymous,EN,2,1,3,4,6,4,5,2,2,8,7,7,7,7,6,6,6,9,8
2024-04-19 11:39:37,2024-04-19 11:41:38,0,128.250.0.215,100,121,1,2024-04-19 11:41:39,R_41MWCbl6MyVGrs7,,,,,-37.8159,144.9669,anonymous,EN,2,5,4,5,3,5,7,4,4,7,7,8,7,8,7,7,8,8,7
2024-04-19 11:42:00,2024-04-19 11:43:33,0,128.250.0.215,100,92,1,2024-04-19 11:43:33,R_4dzkpqKGhSGdAGd,,,,,-37.8159,144.9669,anonymous,EN,2,1,2,4,3,4,2,3,2,7,7,7,8,8,7,8,8,8,9
2024-04-19 11:43:54,2024-04-19 11:46:00,0,128.250.0.215,100,125,1,2024-04-19 11:46:01,R_4PgLtdQWsSGWLJL,,,,,-37.8159,144.9669,anonymous,EN,2,3,1,2,2,3,3,4,3,7,8,8,7,7,8,6,7,4,7
2024-04-19 11:46:09,2024-04-19 11:48:23,0,128.250.0.215,100,133,1,2024-04-19 11:48:23,R_4Qlg0hiFNsIa3bU,,,,,-37.8159,144.9669,anonymous,EN,2,1,1,2,2,3,2,4,3,7,8,7,8,8,7,7,8,9,8
2024-04-19 11:48:32,2024-04-19 11:50:29,0,128.250.0.215,100,117,1,2024-04-19 11:50:30,R_4YWboAZksu5gJtU,,,,,-37.8159,144.9669,anonymous,EN,2,3,2,2,4,2,3,3,18,8,7,7,8,7,7,7,8,2,9
