trial_number,alpha_id,ring_id,average_mt,mt_list
1,5,1,0.9937669038772583,"[0.925208568572998, 1.0999126434326172, 0.9249992370605469, 1.0751433372497559, 0.9499387741088867, 1.0498936176300049, 0.9749886989593506, 0.9500503540039062]"
2,3,1,1.0748193562030792,"[0.973832368850708, 2.074702024459839, 1.0000114440917969, 0.900139331817627, 0.9250698089599609, 0.9500317573547363, 0.8500959873199463, 0.9246721267700195]"
3,1,1,0.8092745542526245,"[0.7993109226226807, 0.7749857902526855, 0.8501551151275635, 0.8273766040802002, 0.7974057197570801, 0.8251857757568359, 0.7499473094940186, 0.8498291969299316]"
4,3,1,0.8312444686889648,"[0.7999682426452637, 0.8001048564910889, 0.8499906063079834, 0.7999389171600342, 0.8501105308532715, 0.8248617649078369, 0.8499355316162109, 0.8750452995300293]"
5,5,2,1.5812782645225525,"[1.6001687049865723, 1.350062370300293, 1.425295114517212, 1.94996976852417, 1.2998952865600586, 1.4503705501556396, 1.8996546268463135, 1.6748096942901611]"
6,3,2,1.6468955874443054,"[1.600135087966919, 2.6001169681549072, 1.4999072551727295, 1.6749956607818604, 1.4249889850616455, 1.4750285148620605, 1.4000203609466553, 1.499971866607666]"
7,1,2,1.6031280755996704,"[1.6500933170318604, 1.5999782085418701, 1.6001262664794922, 1.57489013671875, 1.5500741004943848, 1.6251819133758545, 1.5747416019439697, 1.6499390602111816]"
8,5,4,2.3250406682491302,"[2.375192642211914, 2.4500136375427246, 3.050041913986206, 3.2251222133636475, 1.7748472690582275, 1.9750854969024658, 1.974931001663208, 1.7750911712646484]"
9,3,4,1.843782663345337,"[1.6249027252197266, 1.9499843120574951, 1.5501327514648438, 1.775172472000122, 1.4998810291290283, 1.7000811100006104, 2.199984312057495, 2.450122594833374]"
10,1,4,1.7687824368476868,"[1.7250912189483643, 1.8752219676971436, 1.7751035690307617, 1.8247480392456055, 1.7251949310302734, 1.800034761428833, 1.724890947341919, 1.6999740600585938]"
11,3,2,1.4875333309173584,"[1.350273847579956, 1.6750776767730713, 1.2499678134918213, 1.4499590396881104, 1.075138807296753, 1.4248442649841309, 2.2752416133880615, 1.399763584136963]"
12,5,2,1.4906679689884186,"[1.6008164882659912, 1.2243752479553223, 1.5250771045684814, 1.4999642372131348, 1.600008249282837, 1.274956464767456, 1.650264024734497, 1.549881935119629]"
13,1,2,1.290665864944458,"[1.3250164985656738, 1.325167179107666, 1.2999699115753174, 1.350435733795166, 1.2245056629180908, 1.2750413417816162, 1.2750906944274902, 1.2500998973846436]"
14,1,4,1.3031347692012787,"[1.3250806331634521, 1.3249809741973877, 1.2749786376953125, 1.2751641273498535, 1.324831485748291, 1.2751035690307617, 1.3248426914215088, 1.300096035003662]"
15,3,4,1.4875311255455017,"[1.3501911163330078, 1.3499257564544678, 1.325155258178711, 1.449894666671753, 2.150068521499634, 1.3000071048736572, 1.3249976634979248, 1.6500089168548584]"
16,5,4,2.000029891729355,"[1.5750932693481445, 2.3499393463134766, 1.575105905532837, 2.574981927871704, 2.000059127807617, 2.1499547958374023, 2.1253268718719482, 1.649777889251709]"
